1	2
2	4
3	1
4	1
5	3
6	3
7	3
8	1
8	2
8	3
8	4
9	4
10	4
11	3
12	1
13	2
14	4
15	4
16	1
17	2
18	1
19	4
20	3
21	4
22	3
23	1
23	2
23	3
23	4
24	1
25	1
26	4
27	2
28	1
29	4
30	3
31	1
32	1
33	3
34	1
35	1
36	1
37	1
37	2
37	3
37	4
38	4
39	2
40	1
41	1
42	1
43	3
44	2
45	2
46	3
47	1
47	2
47	3
47	4
48	2
49	1
50	2
51	1
52	1
53	2
54	3
55	3
56	1
57	1
58	2
59	1
59	2
59	3
59	4
60	4
61	1
62	1
63	2
64	4
65	1
66	3
67	2
68	1
69	3
70	2
71	3
72	1
73	4
74	1
75	1
76	1
77	1
78	1
79	3
80	4
81	3
82	3
83	4
84	2
85	1
86	1
87	1
88	4
89	1
90	4
91	2
92	1
93	1
94	1
95	4
96	4
97	1
97	2
97	3
97	4
98	1
99	4
100	1
101	4
102	1
103	4
104	1
105	2
106	2
107	1
108	1
109	1
110	3
111	2
112	2
113	1
114	3
115	3
116	1
117	1
117	2
117	3
117	4
118	3
119	1
119	2
119	3
119	4
120	3
121	4
122	4
123	2
124	2
125	2
126	3
127	2
128	1
